IMG_Contig_Name,Original_Contig_Name,Bin,Contig %GC,Contig Length,Locus_Tag,IMG_Gene_ID,Gene_Type,Gene_Start,Gene_Stop,Gene_Length,Homolog_Gene_ID,Homolog_Taxon_ID,Lineage %ID,Lineage,Product,Source,COG_ID,Cog %ID,PFAM_ID,KO_Term,KO %ID,EC_Number
SMTZ23_10005039,WORSMTZ_5038,82,36.7387,19078,SMTZ23_100050397,SMTZ23_10005039.22,CDS,7881,8447,566,640896710,640753029,37.8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;hospitalis;Ignicoccus hospitalis KIN4/I, DSM 18386",Peptidase S24-like,pfam00717,COG1157,24,pfam00717,KO:K13280,37.8,EC:3.4.-
SMTZ23_10000496,WORSMTZ_495,#N/A,38.6309,53320,SMTZ23_1000049665,SMTZ23_10000496.222,CDS,50022,50489,467,640896710,640753029,39,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;hospitalis;Ignicoccus hospitalis KIN4/I, DSM 18386",Peptidase S24-like,pfam00717,COG0681,19.67,pfam00717,KO:K13280,39,EC:3.4.-
SMTZ23_10061135,WORSMTZ_63662,41,60.7683,5623,SMTZ23_100611352,SMTZ23_10061135.5,CDS,398,1300,902,648160015,648028035,54.8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;aggregans;Ignisphaera aggregans AQ1.S1, DSM 17230",Aminotransferase class-III,pfam00202,COG0001,47.93,pfam00202,KO:K01845,54.8,EC:5.4.3.8
SMTZ23_10040081,WORSMTZ_40080,#N/A,28.9056,6369,SMTZ23_100400817,SMTZ23_10040081.23,CDS,4073,4990,917,648158673,648028035,40.2,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;aggregans;Ignisphaera aggregans AQ1.S1, DSM 17230",Methionine aminopeptidase,COG0024,COG0024,33.95,pfam00557,KO:K01265,40.2,EC:3.4.11.18
SMTZ23_10013677,WORSMTZ_13676,#N/A,43.6701,12441,SMTZ23_100136771,SMTZ23_10013677.1,CDS,1,285,284,646826922,646564573,80,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;hellenicus;Staphylothermus hellenicus P8, DSM 12710",domain,pfam01855,COG0674,43.82,pfam01855,KO:K00169,80,EC:1.2.7.1
SMTZ23_10071943,WORSMTZ_198236,#N/A,53.5282,5952,SMTZ23_1007194311,SMTZ23_10071943.36,CDS,5612,5950,338,646826922,646564573,78.8,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;hellenicus;Staphylothermus hellenicus P8, DSM 12710",domain,pfam01855,COG0674,43.81,pfam01855,KO:K00169,78.8,EC:1.2.7.1
SMTZ23_10024811,WORSMTZ_24810,#N/A,48.629,8388,SMTZ23_1002481110,SMTZ23_10024811.27,CDS,8302,8388,86,2522012128,2521172705,82.6,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;cellulolyticus;Thermogladius cellulolyticus 1633,,,COG4231,51.85,,KO:K00179,82.6,EC:1.2.7.8
SMTZ23_10057621,WORSMTZ_57620,82,34.1383,5135,SMTZ23_100576218,SMTZ23_10057621.23,CDS,4345,4992,647,646807313,646564583,34.7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,COG3745,26.83,pfam00717,KO:K13280,34.7,EC:3.4.-
SMTZ23_10029520,WORSMTZ_29519,#N/A,35.5678,12725,SMTZ23_1002952015,SMTZ23_10029520.53,CDS,11665,12723,1058,646807313,646564583,29.9,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,COG0681,14.93,pfam00717,,,
SMTZ23_10024195,WORSMTZ_24194,#N/A,29.6155,10741,SMTZ23_100241952,SMTZ23_10024195.5,CDS,1551,2381,830,646807313,646564583,32.9,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,,,pfam00717,,,
SMTZ23_10022000,WORSMTZ_21999,#N/A,41.82,8967,SMTZ23_100220001,SMTZ23_10022000.1,CDS,1,183,182,646807498,646564583,49,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase family M50,pfam02163,,,pfam02163,,,
SMTZ23_10029730,WORSMTZ_29729,#N/A,32.6943,7564,SMTZ23_100297302,SMTZ23_10029730.5,CDS,502,1065,563,646807313,646564583,34.1,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,COG0681,22.68,pfam00717,KO:K13280,34.1,EC:3.4.-
SMTZ23_10065220,WORSMTZ_83176,#N/A,48.7489,5875,SMTZ23_100652209,SMTZ23_10065220.26,CDS,5090,5875,785,646807525,646564583,58,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",domain,pfam01855,COG0674,39.69,pfam01855,KO:K00169,58,EC:1.2.7.1
SMTZ23_10053353,WORSMTZ_53352,#N/A,33.4326,5375,SMTZ23_100533532,SMTZ23_10053353.5,CDS,4032,4490,458,646807313,646564583,29.5,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",Peptidase S24-like,pfam00717,COG0681,22.35,pfam00717,KO:K13280,36.7,EC:3.4.-
SMTZ23_10070973,WORSMTZ_152196,#N/A,48.6564,5247,SMTZ23_100709731,SMTZ23_10070973.1,CDS,1,786,785,646807525,646564583,57.7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486",domain,pfam01855,COG0674,38.91,pfam01855,KO:K00169,57.7,EC:1.2.7.1
SMTZ23_10001432,WORSMTZ_1431,#N/A,36.9234,33973,SMTZ23_1000143242,SMTZ23_10001432.141,CDS,29656,30294,638,646807368,646564583,38.7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans;Thermosphaera aggregans M11TL, DSM 11486","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",COG1014,COG1014,25.95,pfam01558,KO:K00180,38.7,EC:1.2.7.8
SMTZ23_10010417,WORSMTZ_10416,83,47.0796,23764,SMTZ23_1001041715,SMTZ23_10010417.47,CDS,13692,14597,905,640082486,640069314,40.3,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,Methionine aminopeptidase,COG0024,COG0024,38.54,pfam00557,KO:K01265,40.3,EC:3.4.11.18
SMTZ23_10001072,WORSMTZ_1071,#N/A,45.7419,42777,SMTZ23_100010724,SMTZ23_10001072.11,CDS,3931,5163,1232,640083022,640069314,36.7,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,Glutamate-1-semialdehyde aminotransferase,COG0001,COG0001,35.8,pfam00202,KO:K01845,36.7,EC:5.4.3.8
SMTZ23_10021322,WORSMTZ_21321,#N/A,54.1371,27495,SMTZ23_1002132229,SMTZ23_10021322.101,CDS,27386,27493,107,640083022,640069314,69.7,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,,,COG0001,40.74,,KO:K01845,69.7,EC:5.4.3.8
SMTZ23_10028713,WORSMTZ_28712,#N/A,48.9891,7716,SMTZ23_100287132,SMTZ23_10028713.5,CDS,1184,3070,1886,640083047,640069314,45.9,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus;Hyperthermus butylicus DSM 5456,"Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits",COG4231,COG4231,42.25,pfam02775,KO:K00179,45.9,EC:1.2.7.8
SMTZ23_10045406,WORSMTZ_45405,#N/A,42.1394,6628,SMTZ23_100454069,SMTZ23_10045406.25,CDS,6197,6628,431,2505689292,2505679005,34,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Peptidase family C25,pfam01364,,,pfam01364,,,
SMTZ23_10005628,WORSMTZ_5627,#N/A,57.1626,18108,SMTZ23_100056288,SMTZ23_10005628.20,CDS,6305,7192,887,2505689354,2505679005,47,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,28.33,pfam00557,KO:K01265,47,EC:3.4.11.18
SMTZ23_10009071,WORSMTZ_9070,#N/A,42.1159,14301,SMTZ23_100090713,SMTZ23_10009071.7,CDS,1546,2454,908,2505689354,2505679005,43.3,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,35.44,pfam00557,KO:K01265,43.3,EC:3.4.11.18
SMTZ23_10036304,WORSMTZ_36303,#N/A,40.8682,12462,SMTZ23_1003630412,SMTZ23_10036304.35,CDS,6737,7642,905,2505689354,2505679005,44.3,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,35.24,pfam00557,KO:K01265,44.3,EC:3.4.11.18
SMTZ23_10026576,WORSMTZ_26575,#N/A,45.5188,8067,SMTZ23_100265763,SMTZ23_10026576.7,CDS,741,1646,905,2505689354,2505679005,44.7,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,35.92,pfam00557,KO:K01265,44.7,EC:3.4.11.18
SMTZ23_10069620,WORSMTZ_124667,#N/A,37.2362,5876,SMTZ23_100696201,SMTZ23_10069620.1,CDS,2,631,629,2505689354,2505679005,48.4,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,36.23,pfam00557,KO:K01265,48.4,EC:3.4.11.18
SMTZ23_10061959,WORSMTZ_66588,#N/A,41.5816,5387,SMTZ23_100619591,SMTZ23_10061959.1,CDS,25,1002,977,2505689354,2505679005,44.4,"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;fumarii;Pyrolobus fumarii 1A, DSM 11204",Methionine aminopeptidase,COG0024,COG0024,36.89,pfam00557,KO:K01265,44.4,EC:3.4.11.18
SMTZ23_10006693,WORSMTZ_6692,#N/A,43.1764,24166,SMTZ23_1000669324,SMTZ23_10006693.67,CDS,18532,20202,1670,2514085885,2513237177,35.7,Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;fontis;Fervidicoccus fontis Kam940,Peptidase S24-like,pfam00717,COG0681,23.77,pfam00717,,,
SMTZ23_10000211,WORSMTZ_210,#N/A,28.4023,74325,SMTZ23_1000021175,SMTZ23_10000211.280,CDS,67846,68766,920,2514085837,2513237177,41.8,Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;fontis;Fervidicoccus fontis Kam940,Methionine aminopeptidase,COG0024,COG0024,32.77,pfam00557,KO:K01265,41.8,EC:3.4.11.18
SMTZ23_10028215,WORSMTZ_28214,#N/A,40.7508,9217,SMTZ23_100282153,SMTZ23_10028215.7,CDS,1192,1497,305,2514086636,2513237177,47.5,Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;fontis;Fervidicoccus fontis Kam940,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,45.45,pfam00202,KO:K00823,47.5,EC:2.6.1.19
SMTZ23_10052012,WORSMTZ_52011,#N/A,27.3971,8552,SMTZ23_100520124,SMTZ23_10052012.11,CDS,2055,2780,725,2514085837,2513237177,46.9,Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;fontis;Fervidicoccus fontis Kam940,Methionine aminopeptidase,COG0024,COG0024,34.12,pfam00557,KO:K01265,46.9,EC:3.4.11.18
SMTZ23_10038592,WORSMTZ_38591,#N/A,28.0731,6508,SMTZ23_100385925,SMTZ23_10038592.15,CDS,2522,3439,917,2514085837,2513237177,41.2,Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;fontis;Fervidicoccus fontis Kam940,Methionine aminopeptidase,COG0024,COG0024,33.95,pfam00557,KO:K01265,41.2,EC:3.4.11.18
SMTZ23_10001572,WORSMTZ_1571,#N/A,28.4318,32643,SMTZ23_1000157210,SMTZ23_10001572.32,CDS,8134,9051,917,650846788,650716001,39.4,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;hospitalis;Acidianus hospitalis W1,Methionine aminopeptidase,COG0024,COG0024,34.6,pfam00557,KO:K01265,39.4,EC:3.4.11.18
SMTZ23_10014205,WORSMTZ_14204,#N/A,30.6528,11366,SMTZ23_1001420511,SMTZ23_10014205.37,CDS,9267,10184,917,650846788,650716001,39.7,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;hospitalis;Acidianus hospitalis W1,Methionine aminopeptidase,COG0024,COG0024,33.96,pfam00557,KO:K01265,39.7,EC:3.4.11.18
SMTZ23_10027036,WORSMTZ_27035,#N/A,27.2295,7984,SMTZ23_100270367,SMTZ23_10027036.23,CDS,6214,7137,923,650846788,650716001,40.8,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;hospitalis;Acidianus hospitalis W1,Methionine aminopeptidase,COG0024,COG0024,33.91,pfam00557,KO:K01265,40.8,EC:3.4.11.18
SMTZ23_10000147,WORSMTZ_146,#N/A,31.2554,160830,SMTZ23_1000014716,SMTZ23_10000147.56,CDS,23241,24170,929,650820537,650716051,40.5,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;cuprina;Metallosphaera cuprina Ar-4,Methionine aminopeptidase,COG0024,COG0024,33.33,pfam00557,KO:K01265,40.5,EC:3.4.11.18
SMTZ23_10037247,WORSMTZ_37246,#N/A,50.2487,9248,SMTZ23_100372475,SMTZ23_10037247.16,CDS,6254,7324,1070,640507578,640427120,36.2,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;sedula;Metallosphaera sedula DSM 5348,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,38.78,pfam00155,KO:K00812,36.2,EC:2.6.1.1
SMTZ23_10010417,WORSMTZ_10416,83,47.0796,23764,SMTZ23_1001041714,SMTZ23_10010417.43,CDS,12785,13393,608,2524414706,2524023197,48.7,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;acidocaldarius;Sulfolobus acidocaldarius N8,Methionine aminopeptidase,COG0024,COG0024,37.5,pfam00557,KO:K01265,48.7,EC:3.4.11.18
SMTZ23_10067888,WORSMTZ_103959,#N/A,30.1252,5351,SMTZ23_100678881,SMTZ23_10067888.1,CDS,2,880,878,650472203,650377982,45.6,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;islandicus;Sulfolobus islandicus REY15A,domain,pfam01855,COG0674,31.46,pfam01855,KO:K00169,45.6,EC:1.2.7.1
SMTZ23_10062737,WORSMTZ_69837,#N/A,49.865,5924,SMTZ23_1006273712,SMTZ23_10062737.31,CDS,4646,5290,644,638162499,638154518,22.7,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;solfataricus;Sulfolobus solfataricus P2,Peptidase propeptide and YPEB domain,pfam03413,,,pfam03413,,,
SMTZ23_10026884,WORSMTZ_26883,#N/A,29.1747,9875,SMTZ23_100268849,SMTZ23_10026884.31,CDS,6246,7163,917,638193797,638154519,41.7,"Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;tokodaii;Sulfolobus tokodaii 7, JCM 10545",Methionine aminopeptidase,COG0024,COG0024,32.48,pfam00557,KO:K01265,42.1,EC:3.4.11.18
SMTZ23_10053807,WORSMTZ_53806,83,49.1582,5346,SMTZ23_100538075,SMTZ23_10053807.13,CDS,4090,5001,911,2525232301,2524614637,45,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;unclassified Sulfolobales;Sulfolobales;sp.;Sulfolobales archaeon Acd1,Methionine aminopeptidase,COG0024,COG0024,34.76,pfam00557,KO:K01265,43.7,EC:3.4.11.18
SMTZ23_10000007,WORSMTZ_6,#N/A,46.5002,244472,SMTZ23_10000007224,SMTZ23_10000007.735,CDS,183198,183989,791,2525231945,2524614637,32.5,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;unclassified Sulfolobales;Sulfolobales;sp.;Sulfolobales archaeon Acd1,"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains",COG0449,COG0449,23.74,pfam13522,KO:K00820,30.5,EC:2.6.1.16
SMTZ23_10026535,WORSMTZ_26534,41,54.9653,8076,SMTZ23_100265356,SMTZ23_10026535.18,CDS,5155,6471,1316,639773310,639633064,36.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,36.24,pfam00202,KO:K00823,36.8,EC:2.6.1.19
SMTZ23_10042415,WORSMTZ_42414,49,35.5786,6161,SMTZ23_100424152,SMTZ23_10042415.5,CDS,535,2418,1883,639773557,639633064,44.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,"Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits",COG4231,COG4231,42.47,pfam02775,KO:K00179,44.6,EC:1.2.7.8
SMTZ23_10018590,WORSMTZ_18589,55,53.0993,9857,SMTZ23_100185901,SMTZ23_10018590.1,CDS,483,2192,1709,639773557,639633064,37.5,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,"Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits",COG4231,COG4231,33.46,pfam02775,KO:K00179,37.5,EC:1.2.7.8
SMTZ23_10000124,WORSMTZ_123,76,35.8136,88983,SMTZ23_1000012410,SMTZ23_10000124.33,CDS,9639,10970,1331,639773310,639633064,45.9,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,42.66,pfam00202,KO:K00823,45.9,EC:2.6.1.19
SMTZ23_10001924,WORSMTZ_1923,80,35.6711,29587,SMTZ23_1000192410,SMTZ23_10001924.29,CDS,5619,6866,1247,639773009,639633064,28.4,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,24.33,pfam00155,KO:K00812,30.7,EC:2.6.1.1
SMTZ23_10000299,WORSMTZ_298,83,46.2687,65675,SMTZ23_1000029926,SMTZ23_10000299.77,CDS,23314,24759,1445,639773310,639633064,59,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.79,pfam00202,KO:K00823,59,EC:2.6.1.19
SMTZ23_10048761,WORSMTZ_48760,76-3,35.1892,7849,SMTZ23_100487611,SMTZ23_10048761.1,CDS,3,353,350,639773310,639633064,50.4,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,43.55,pfam00202,KO:K00823,50.4,EC:2.6.1.19
SMTZ23_10000096,WORSMTZ_95,76-6,36.3863,97281,SMTZ23_1000009686,SMTZ23_10000096.303,CDS,79915,81120,1205,639773009,639633064,45.1,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,Aspartate/tyrosine/aromatic aminotransferase,COG0436,COG0436,35.5,pfam00155,KO:K00812,45.1,EC:2.6.1.1
SMTZ23_10000035,WORSMTZ_34,#N/A,41.5568,140273,SMTZ23_10000035166,SMTZ23_10000035.580,CDS,129410,130747,1337,639773310,639633064,59.5,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,50.11,pfam00202,KO:K00823,59.5,EC:2.6.1.19
SMTZ23_10002649,WORSMTZ_2648,#N/A,37.0425,77735,SMTZ23_1000264947,SMTZ23_10002649.151,CDS,38404,39609,1205,639773310,639633064,60.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,47.29,pfam00202,KO:K00823,60.8,EC:2.6.1.19
SMTZ23_10000378,WORSMTZ_377,#N/A,42.2955,60640,SMTZ23_1000037852,SMTZ23_10000378.178,CDS,45763,47100,1337,639773310,639633064,58.8,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,51.91,pfam00202,KO:K00823,58.8,EC:2.6.1.19
SMTZ23_10000805,WORSMTZ_804,#N/A,36.1234,51194,SMTZ23_1000080531,SMTZ23_10000805.109,CDS,28089,29441,1352,639773310,639633064,44.6,Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;pendens;Thermofilum pendens Hrk 5,4-aminobutyrate aminotransferase and related aminotransferases,COG0160,COG0160,42.08,pfam00202,KO:K00823,44.6,EC:2.6.1.19
